MBIID	rating_mean_cat1	rating_mean_cat2	rating_mean_cat3	rating_mean_cat4	rating_mean_cat5	rating_mean_cat6	rating_mean_cat7	rating_mean_cat8	rating_mean_cat9
B169350	1.333	0.889	1.556	0.111	1.667	-3	-3	1.778	-3
B169358	2.111	0.556	2.556	0.778	2.778	-2.111	-2.556	1.556	-2.444
B169372	-0.111	0.333	-0.222	-1.667	-0.444	-0.111	0.444	0.444	1.333
B169415	1.667	0.111	2	0.111	2.556	-2.889	-2.222	0.444	-1.889
B169424	3	3	3	3	3	2.778	3	2.667	3
B169481	2.222	1.667	2.889	-0.111	2.667	-2.444	-1.222	1.667	-1.333
B169485	0	-1.444	0.889	-1	1.222	-3	-1.667	-2.667	-3
B169524	0.667	-0.222	0.889	-1.333	0.889	-3	-2	0.778	-0.333
B169530	1.333	1.222	2	0.111	2	-2.222	-2	1.222	-1.444
B169533	0.889	1	1.444	0.111	1.222	-2.556	-2.667	1.667	-1.778
B169581	1	0	2.333	-0.111	1.667	-3	-3	2.333	-1.667
B169582	1.222	-1.333	1.667	0.111	0.667	-2.667	-2.333	1.222	-2
B169596	0.333	-0.444	2.222	-0.222	1.556	-2.889	-1.778	-0.333	-2.444
B169652	0.778	0.778	0.889	-0.222	1.889	-2.444	-0.889	-0.444	-1.444
B169656	0.889	-0.111	1.111	0	1.667	-1.889	-0.778	0.778	-0.222
B169661	-0.111	-0.556	0.556	-0.333	1.333	-2.556	-1.889	0.556	-2.778
B169669	1.556	1.222	2.444	0.222	2.333	-2.222	-0.333	1.556	0.222
B169678	2.556	0.556	2.778	0	2.889	-2.778	-2.889	1.333	-3
B169686	1.778	-0.889	1.667	-1	2.222	-2.444	-1.889	0	-2.889
B169693	1	0.778	1.444	-1.333	1.444	-0.667	-1	1.111	-0.778
B169715	1.111	-0.222	2.667	-0.222	1.889	-2.111	-1.556	1.222	-2.444
B169792	0.222	0.444	1.111	-0.111	0.778	-0.556	0.222	0.222	-1
B169804	0	0.556	0.778	-0.444	1.556	-2.111	-0.556	-0.111	-1.222
B169812	1.333	1	0	0.333	2.444	-2.444	-2.111	0.222	-0.222
B169851	1	0.333	0.444	-0.111	1.889	-0.111	0.111	1.556	0.556
B169895	0.556	0.222	1	-0.111	0.222	-3	-2.667	1.222	-3
B169909	1.889	0.444	2.222	-0.889	2.778	-3	-2.778	-1	-3
B169931	1.778	1.222	1.222	1	2.556	-2.778	-0.444	-0.889	-0.556
B169964	0.778	0.222	2.333	0.111	1.333	-2.222	-0.333	0.889	-2.667
B169981	-1	-2	-1.111	-1.333	-1.222	-2.778	-2.667	-1	-2.222
B169982	1.444	0.333	1.222	-0.111	2.444	-2.556	-2.444	-0.333	-2.556
B169983	1.556	1.111	2.778	0.111	2.667	-2.667	-2.667	1.222	-2.111
B170009	1	-1.111	2.444	-1.333	2.444	-2.778	-1.778	-1.889	-2.111
B170010	1.333	0.778	0.333	0	1.444	-1.333	-1	0.333	-2.556
B170064	0.667	-0.667	2.667	-0.333	2.667	-3	-3	1.667	-2
B170069	1.889	1	0.778	1.667	2.333	-2.889	-2.111	-1.667	-3
B170074	0.556	0.556	2.556	-0.222	2.222	-3	-2.444	0.778	-3
B170093	1.333	0.444	2.333	-0.333	2.222	-3	-3	1.444	-1.444
B170095	0	0	0	0	0	0	0	0	0
B170103	2.444	1.444	2.333	0.222	1.778	-2	-0.667	1	-2.889
B170138	1.111	-1.444	0.222	-0.222	1.222	-1.667	-0.667	-0.889	-2.222
B170141	1.333	1.556	1.333	-0.333	2	-2.222	-0.556	0.556	-2.111
