MBIID	rating_mean_cat1	rating_mean_cat2	rating_mean_cat3	rating_mean_cat4	rating_mean_cat5	rating_mean_cat6	rating_mean_cat7	rating_mean_cat8	rating_mean_cat9
B171623	1.111	1.222	1.333	0.222	1.667	-0.889	0.889	0.444	-0.111
B171641	0.778	-0.444	1.222	0.333	1.111	-2.778	-2.333	-1	-3
B171686	2.222	-1.778	2.889	0.667	2.222	-3	-2.444	-2.778	-1.778
B171716	2.778	0.778	2.111	0.333	1.667	-3	-2.778	-1.222	-3
B171745	2	-0.556	2.667	0	1.889	-2.556	-2.556	-0.333	-2.222
B171748	1.222	1.667	2	0	2.778	-2.222	-1.556	0.667	-1.444
B171760	2.111	0.444	2.778	-0.444	2.778	-3	-1.556	1.667	-0.778
B171766	1.556	1.111	0.778	0	1.111	-1	-0.667	0.222	0
B171800	2.556	-0.222	2.556	-0.667	2.667	-2.667	-1.667	0.333	-1.556
B171803	0.556	0.222	0.889	-1	0.889	-3	-2.778	0.333	-1.111
B171838	1.222	-0.778	1.556	0.111	1.889	-2.556	-2.444	1	-2.556
B171853	1.333	2.333	1.444	2	2.333	2.111	0.556	1.667	0.556
B171903	2.444	1.333	2.778	0.778	2.778	-2.222	-1.556	-0.556	-0.889
B171920	-0.111	-0.667	-0.222	-0.667	-0.222	-2.889	-2.333	-0.111	-2.889
B171943	0.111	0	0.444	-0.333	1.778	-3	-2.778	0	-2.889
B171981	1.889	0.333	2	1.111	1.111	-1.667	-2.111	1.222	-2.778
B171989	1.889	-0.222	0	-1.889	2	-3	-2.889	-1.667	-3
B172023	1.333	-0.444	0.778	-0.222	2.222	-3	-2.889	0.667	-2.889
B172056	1.444	0.444	2.778	-1.111	3	-3	-1.778	-0.222	-3
B172182	1.333	-0.111	0.111	-1.556	1.333	-2.111	-1	0.333	0.333
B172200	-1.778	0.111	1.889	-2.667	1.889	-3	-1.222	-0.444	-2.222
B172203	2.556	-0.778	2.444	-1.111	0.889	-2.444	-2.222	0.333	0.444
B172211	2.444	-0.111	2	0.222	1.889	-2.333	-2.111	1.333	-2.778
B172219	1.111	-0.222	2	-0.556	1.444	-2.889	-2.333	0.667	-2.889
B172226	3	2.667	3	2.444	3	-1.111	2	0	1.667
B172238	1.667	1.556	2.111	0	2.111	-2	-1.667	1.333	-1.444
B172263	0.667	0.111	1.222	0.111	1.889	-3	-3	-0.111	-2.889
B172268	0.444	0.778	2	-0.222	2	-2.667	-2.222	1	-1
B172269	-0.889	-1	-0.667	-0.889	-0.444	-0.556	-0.889	-0.444	-0.778
B172307	3	1.667	3	1	3	-3	-2.333	3	-3
B172322	1.111	0.222	2.111	-0.333	2.222	-2.444	-0.444	-2.111	-0.778
B172332	0.778	0.333	1.778	-0.222	1.333	-2.889	-2.667	1.111	-2.333
B172379	0.111	0.333	2.889	-0.444	2.333	-3	-2.556	0.333	-2.556
B172383	1.222	0.778	1.778	-0.111	1.556	-2.333	-2.778	0.444	-3
B172402	1.556	1.222	2.778	-0.333	2.667	-2.667	-1.222	1.667	-2.667
B172422	0.333	0.667	2	-0.444	2	-2.333	-1.333	-1.222	-0.667
B172436	2.667	0.667	2.667	0	2.556	-3	-3	0.111	-1.556
B172455	1	-0.667	1.333	0.333	2	-1.222	-1.111	1.556	-0.444
B172462	0.667	0.444	2.667	-0.333	3	-3	-2.333	-0.889	-3
B172474	1.889	2.444	0.333	0.222	2.111	-2.778	-0.667	2	-2.889
B172485	1	0.444	1.111	0.111	1.111	-1.778	-1.444	0.111	-1.444
B172518	0.222	-0.111	2.556	-0.222	1.889	-3	-3	1	-2.889
B172535	1.333	1.333	2.778	0.222	2.778	-2.333	0.222	1.778	0.667
B172536	1.556	0.111	2	-0.111	1.667	-2.778	-2.111	-2.333	-1.667
B172545	1.778	0	3	0	1.889	-3	-3	0.333	1.222
B172590	1.889	-2.444	1.667	-2.111	1.333	-0.556	-0.556	0.111	-1.333
B172591	0.222	1	1.222	0	1.222	0.556	1.444	0.889	0.889
B172643	2.111	-0.889	2.111	0.556	1.444	-2.556	-2.111	0.444	-3
B172697	2.222	1.667	2.111	-0.111	2.333	-2.333	-0.556	0.667	-2.556
B172723	1	0.778	1.444	0.333	2.111	-2.667	-0.889	0.556	-2.556
B172736	0.111	0.333	0.667	0.111	0.556	-0.444	0	0.444	-0.111
B172770	1.444	0.444	0.778	0.111	1.778	-1.222	-0.667	1.667	-1.333
B172799	0.889	1.556	1.778	0.889	2.111	1.222	1.556	1.778	1.333
B172805	1.778	0.444	1.778	-1	2.333	-2.333	-1.556	1.444	-0.444
B172811	0.667	0.889	0.556	0.111	2	-2.111	-2.222	1.222	-2.667
B172815	0	0	0	0	0	0	0	0	0
B172844	0.667	1	2	-0.333	2.444	-1.444	-1	1.222	-0.222
B172845	1.333	-0.222	1.556	-0.333	1.222	-3	-2.667	0.333	-2.222
B172848	2.556	1.222	2.889	1.667	2.889	-2.667	-0.889	2.444	-2.778
B172855	0	0	0	0	0	0	0	0	0
B172863	1.222	0.667	0.111	-0.222	0.667	-1.667	-0.444	0.667	-0.333
B172864	-0.444	0.222	1.889	0.111	1.667	-2.667	-1.333	1.222	-1.556
B172890	-1.222	0.111	0.778	-1.111	0.778	-2.667	-3	0.222	-1.556
B172915	0.778	0.222	0.444	0.333	1.222	-2.222	-1	-0.222	-2.222
B172941	0	0.889	1.222	-0.111	2.556	-2.667	-1	1.111	-2
B172966	2.222	0.889	0.667	0.444	2.333	-2.444	-1.889	1	-2.333
B172976	1.333	-0.111	2.667	0.111	2	-2.778	-1.444	1.111	-0.667
B173016	-1.333	-2.556	2.778	-1.222	-0.556	-2.556	-1.778	-3	2.889
B173021	1	0.667	1.667	-0.667	2.444	-2.778	-2.444	1	-2.444
B173026	1.667	1.333	2.222	1.444	2.222	-1.444	-0.667	1.667	1
B173029	2.778	0.222	0	-0.111	1.889	-3	-2.111	1	-3
B173046	1.556	0.889	1.667	0.333	1.778	-1.333	-1.222	-0.222	-1.667
B173081	1.667	1.111	1.222	-0.111	1.889	-2.889	-2.333	1.111	-3
B173095	0.778	-0.889	2.778	0.111	2.778	-2.889	-2.667	-2.556	-1.556
B173108	1.111	0.333	1.333	0	1.667	-3	-2.667	1.333	-3
B173121	0.333	0.333	1.556	0.444	0.778	-2.556	-2.556	-2.556	-3
B173125	1.889	0.333	1.333	0	2.111	-2.778	-1.889	0.333	-1.333
B173127	0.444	-0.111	0.667	-0.333	0.333	-1	-0.556	-0.667	-0.778
B173134	3	2	2.889	-0.667	2.667	-3	-3	1.111	-3
B173140	2	1.889	2.333	0.667	2.556	-3	-3	1.556	-2.778
B173156	1.222	0.889	1.778	0.222	1.889	-1.778	-0.889	0.778	-0.889
B173164	1.889	0.333	1.778	-0.444	1.778	-2.889	-2.556	1.111	-3
B173202	0.778	-0.333	1.333	0	0.444	-2.667	-1.222	0.222	-1.222
B173234	1.556	0.444	1.111	0.556	1.333	-2.111	-0.889	0.778	2.111
B173256	2	1.333	1.333	0	1.889	-2.444	-2.444	0.556	0.222
B173257	1.111	1.444	1.333	-0.111	1.222	-2.889	-2.667	1	-2.333
B173283	2	-1.111	0.778	0.333	2.111	-2.444	-2.556	-1.778	-2.333
B173318	0	0.778	0.667	0.444	2.333	-2.889	-2.222	1	0.556
B173333	0.111	-0.111	2.333	-0.222	1.111	-2.778	-2.444	1.667	-2.444
B173362	1.778	0.556	2.222	0.222	2.444	-3	-2.889	1.889	-2.889
B173366	0.556	0.222	2	-2.222	1.556	-3	1.444	-0.333	-3
B173378	1	-0.333	0.333	-0.222	1.444	-2.111	-1.667	0.556	-2.556
B173392	0.444	0.333	1	-0.444	1.222	-2.111	-0.778	0.556	-1.889
B173414	1	0.778	1.667	0.111	1.889	-3	-3	1.111	-1.556
B173416	0.444	0.667	2.222	1.111	1.444	-0.778	1.444	0.222	1.222
B173418	1.333	0.444	1.111	0	0.333	-1.556	-1.667	1.556	-1.444
B173433	1.444	0.556	1.333	0.333	2	-0.889	-0.222	0.444	-1.778
B173436	1.111	1.222	1.222	-0.222	2	-2.556	-2	1.667	-1.667
B173475	0	0.111	0.111	0.111	0.111	-0.333	0.111	0.889	-0.111
B173483	2.111	1.111	1.556	-0.111	2.444	-3	-1.667	0	-0.889
B173487	1.222	0.111	2.889	0.333	2.667	-2.667	-1.444	1	0.778
B173491	2	2.333	2.667	0.333	2.111	-1.667	-0.667	1.444	2.111
B173500	2.556	1.333	1.444	0.222	2.333	-1.444	-1.222	2.222	-2.333
B173544	1.444	-0.444	1.778	-1	2.556	-3	-3	-0.556	-3
B173545	1.333	0.778	0.667	-0.444	2.222	-2.222	-0.444	0.111	-1.444
B173566	1.889	1.333	2	0.556	2.111	-2	-1.667	1.778	-1.889
B173572	0.778	1	1.222	-0.111	1.222	-2.333	-1	1.111	-1
B173604	1.222	1.222	1.333	0.111	2.444	-3	-2.667	0	-2.444
B173638	-0.222	-0.111	2	-0.444	1.444	-1.667	0.889	0.667	-0.333
B173651	1.889	-0.333	2	-2	1.333	-2.333	-2.333	2.222	-2.222
B173661	0.667	0	1.556	-0.222	0.778	-1.778	-1.889	-0.111	-2.556
B173663	1.111	2.333	2.889	0.111	2.444	-2.667	-2.111	1.444	-2.222
B173665	1.333	0.667	1.889	-0.111	1.667	-2.667	-2.889	1.222	-2.889
B173672	0.111	0.111	0.333	0	0.333	-0.778	-0.889	0.222	-0.556
B173688	1.333	0.444	1	-0.444	1.889	-2.889	-3	0.111	-3
B173699	-1	-1.667	-1	-1.556	-1	-3	-2.778	-1	-2.444
B173706	-0.222	-1.111	0.333	-0.111	0.778	-2.556	-1.333	-1.444	-2.111
B173729	1	0.111	0.667	-0.111	0.333	-1.444	-1.111	1.667	0
B173762	2.444	0.556	2.444	-0.333	2.444	-3	-3	1.444	-2.778
B173766	0.333	0.333	1.889	-0.556	0.778	-2.667	-2.333	0.111	-1.556
B173815	2.556	-0.556	0.556	-0.333	2.333	-2.889	-2.778	0	-2.667
B173827	1.556	0	0	-0.222	0.111	0	0.222	1	-0.444
B173845	0.778	0	0.889	-0.556	1.667	-3	-2.333	0.889	-2.556
B173943	1.444	0.111	1.556	-1.111	1.667	-2.889	-2	-2	-2.556
B173991	0.889	0	0.667	0	0.556	-2.222	-2.667	0.889	-2
B174008	-1.222	1.111	1	-0.778	0.778	-2.222	-1.667	1.111	-2.889
B174011	0.889	-0.111	1	0.111	2.222	-2.444	-1.222	0.333	-2.111
B174019	0.778	0	1.333	-1.333	0.556	-3	-2.444	0.333	-2.889
B174033	0.111	-0.333	2.444	0	2	-1.889	-1.222	1.667	-1.333
B174057	-0.667	-1.333	0.556	-0.889	0.556	-3	-2.889	-0.556	-2.333
B174066	1.889	1.667	1.556	0	0.778	-2.667	-1.889	-1	-2
B174071	2.111	1.556	2.778	0.333	2.556	1	0.333	1.778	-1.111
B174083	0.889	0.333	1.667	0.222	1.778	-2.333	-2	0.889	-0.111
B174084	-2	-2.667	-2	-2.333	-2	-3	-3	-2.444	-3
B174101	2.667	1.222	2.667	0.333	3	-2.667	-2	1.667	0.222
B174108	1.889	1.222	-0.111	0.111	1.444	-3	-3	0.333	-3
B174125	2.444	0.889	2.111	-0.556	1.222	-2.667	-2.222	1.889	-3
B174129	0.222	0.667	2.444	-0.111	1.889	-2.444	-1.556	1.333	-1.556
B174165	0.778	0.889	0.778	-1.111	1.333	-2.889	-0.556	-1.444	-0.889
B174201	1.333	-1.222	-0.667	-0.778	1.111	-3	-3	0.444	-3
B174205	-0.444	0.333	0.111	-0.111	0.111	-1.222	-1.444	0.222	-1.111
B174208	0.222	0.667	0.444	0.444	0.667	1	0.889	0.778	1.111
B174228	3	-2.111	1.111	-1.778	-1	-3	-3	1.778	-3
B174238	1.111	1	1.778	-0.111	1.889	-2.556	-1.889	1.333	-1.667
B174271	1.111	0.111	2.556	0.111	2.889	-2.667	-2	-1.111	-2.778
B174339	0.667	0	2.111	-0.556	1.222	-3	-1	-0.889	-2.111
B174384	2.667	0.889	2.778	0.444	2.111	-3	-2.889	-1.667	-2.111
B174387	0.111	1.444	1.444	0	1	-0.667	0.556	1	0.333
B174401	-0.333	0.556	1	-2.111	2	-2.889	-0.778	0.444	-0.222
B174407	0.889	0.333	1.444	-2.444	1	-2.889	-0.667	0	0.667
B174414	1.333	0.889	2.556	0.222	2	-2.778	-2.111	-0.111	-0.889
B174471	0.667	-1	2.556	0.333	1.667	-2.778	-2.556	0.667	-1.333
B174527	1.111	0	2.222	0	1.889	-3	-3	-0.111	-2.889
B174564	0	-0.222	1	-0.222	1.333	-2.444	-2	-0.778	-2.222
B174565	0.222	-0.333	1.444	0.667	1.333	-2.111	-1.444	-2.222	-2.667
B174590	0	0	0	0	0.222	-1.667	0	1.667	0
B174591	1.222	1	2.111	-1	2.222	-1.889	-0.889	-1	-0.111
B174594	0.444	-0.667	1.889	-0.556	1.778	-3	-3	0.333	-3
B174599	1	0.444	1.444	-0.444	1.889	-2.222	-0.667	1.222	-1.889
B174621	2.111	2.333	2.889	1.111	2.889	-3	-2.222	0.333	0.667
B174622	0.667	0.333	1.111	-0.222	1.333	-3	-2.333	0.556	-0.111
B174623	0.444	0.444	0.111	0	1.111	-2	-0.111	0.222	0.889
B174643	1.667	1	2.111	-0.667	2.111	-3	-2.667	0.111	-1.667
B174671	-1.778	-1.667	-1.889	-1.444	-1.778	-1	-1	-1.444	-1.222
B174730	1.222	1.556	1.667	-0.444	2.222	-2.778	-0.556	1.111	-2.667
B174733	0.111	-0.333	0.778	0.333	1.111	-1.444	-1.111	0.333	-1.111
B174739	1.778	-0.444	-0.111	-0.556	1.889	-3	-2.778	0.444	-3
B174745	0.778	0.556	2	0.111	1.889	-2.889	-1.444	1.667	-2.222
B174750	2.556	1.778	2.333	-2.333	2.111	-3	-3	-0.333	-3
B174793	2.778	2.556	3	0.556	3	-3	-3	-0.222	-2.889
B174794	1.778	1	1	1	1	1	1	1.667	1
B174814	0.111	0	0.333	-0.111	0.333	-1.444	-1.333	0.778	-1.556
B174820	1.667	0.111	2.556	-0.556	1.556	-2.778	-0.333	-0.556	1.333
B174821	2.111	0.889	2.778	0.889	2.333	-2.889	-2.667	1.333	-2.444
B174877	-0.222	0.111	0.444	-1.111	0.889	-2.556	-1.333	0.667	-2.333
B174881	1.333	0.667	2.111	-1	1.889	-2.889	-2.778	1.667	-3
B174895	2.111	0	2.778	-0.444	2.556	-2.889	-2.889	0.222	-3
B174915	2.556	0.111	2.333	0.222	2	-2.444	-1.444	-0.556	-1.556
B174918	2.556	1.778	2.667	0.444	2.889	-2.778	-0.778	1.667	1.222
B174935	0.444	0.556	1.222	-0.444	1.444	-0.778	-0.444	0.111	-1.444
B174997	0.111	0.111	0.111	0	1	0	0.111	0.111	-1.111
B175022	0	0	0	0	0	0	0	0	0
B175047	-0.556	-0.222	2.222	-0.556	1.889	-3	-1.889	0.333	-0.444
B175060	1.444	0.444	1.444	0.111	2.111	-2.556	-2.222	-0.778	-2.556
B175071	2	0.889	1.889	0.333	2.778	-2.778	-2.444	-1.667	-2.667
B175092	2.556	1	1.444	0.778	1.222	-3	-2.778	1	-1.667
B175102	3	0	1.333	0.222	0.111	-2.222	-0.889	0	0
B175178	0.111	0.333	2.778	0	1.778	-2.111	-0.222	0.889	-0.889
B175214	0.444	-0.444	1	0.222	1.778	-2.778	-1.667	-1.778	-0.889
B175228	2.667	1.444	2.889	0.333	2.889	-3	-2.889	2	-1.778
B175267	2	1.444	1.889	-0.111	1.889	-1.444	-0.444	1.222	-0.444
B175274	0.556	-0.444	2.222	-0.222	2.111	-2.556	-2.111	0.667	-2.889
B175277	1.556	0.667	2	0.444	2	-3	-2.111	1.667	-0.667
B175295	2.111	0.889	2.444	-0.111	2.667	-2.778	-2.889	0.556	-2.889
B175320	0.444	-0.222	1.444	-0.667	0.889	-2.778	-2.667	0.444	-2.444
B175322	1	0.556	0.889	0.111	1.222	-2.333	-2.111	0.667	-1.667
B175327	1.667	0.333	2.444	0.222	2.222	-2.889	-2.333	2.889	-1.778
B175368	0.444	-1	1.333	0.111	0.556	-1.667	-2	-0.333	-0.778
B175409	1.556	2.556	2.222	1.556	3	1.889	2.778	2.556	2.778
B175411	1.333	1.889	2.333	0.444	2.889	-2.333	0.444	0.333	-2.667
B175416	0.889	0.556	1.222	0.111	1.222	-0.778	-0.333	1.667	0
B175432	0	0.889	1.889	-0.111	2.444	-2.556	-1	1	-1.778
B175439	2	1.444	2	0	1.889	-2.667	-3	1.333	-2
B175466	1.556	1	2.333	0.444	2.556	-1.222	-1.333	2.111	0.778
B175470	2.222	1.778	1.778	-1.222	2.778	-3	-1.222	0.667	-2.778
B175510	-0.111	0.778	1.778	-0.222	1.556	-2	-0.889	0.444	-1.556
B175535	0.667	-0.667	-0.222	-0.222	2.556	-3	-2.889	0	-3
B175540	2.333	1.667	2.333	0.667	2.667	-3	-3	1.667	-3
B175544	-0.444	-0.333	0.444	-0.333	0.778	-2.111	-2.111	-0.111	-0.889
B175573	1.667	0	3	-0.111	2.444	-3	-2.444	0.778	-2.333
B175582	0.444	-1.778	0.111	-1.222	-0.556	-3	-3	0.444	-3
B175600	1.111	-0.333	1.889	-0.111	1.111	-2.222	-0.778	0.667	-2.222
B175607	1.444	0	1.333	0	2.333	-1.778	0.778	0.222	0.222
B175636	1.111	0.444	1.333	0.889	0.667	-1.556	0.222	-1.889	-1.556
B175700	2	-0.444	2	-0.333	1	-2.778	-0.333	-0.333	-1.444
B175719	1.444	1	2.111	0	2.444	-2	0	1.111	-2.111
B175721	2.111	-1	2.889	-0.333	2.444	-2.556	-2.778	0.333	-2.889
B175741	1.444	1	2.778	0.111	1.111	-3	-2.556	0	-1.778
B175743	0.778	0	0.889	0	0.778	-2.444	-2.889	0.556	-3
B175777	0.556	-1.222	1.444	-0.667	0.556	-1.111	-0.333	-1.333	0.222
B175790	1.778	1.222	1.889	-0.111	1.667	-0.778	-1.222	2	0.889
B175797	0.667	-0.889	0.889	0	1	-2.222	-1.556	0.333	-1.889
B175864	1.444	1.667	1.889	-0.222	2.667	-2.667	-2.222	0.667	-1.222
B175872	0	0.556	0.444	0.222	0.556	-0.333	1	0.333	1
B175893	1.333	0.778	2.556	0	1.444	-2.667	-1.889	1.333	-1.111
B175924	0.778	0.556	2.333	0.333	1.667	-2.111	-1.778	1.333	-2.111
B175941	1.889	1.111	1.333	-0.111	1.333	-1.889	-2.111	1.111	-1.889
B175958	0.222	-0.222	0	-0.111	0.778	-2	-1.222	0.333	-1
B175984	3	2.333	2.889	3	3	-0.667	1.333	3	1.778
B175994	2.222	0.333	2.667	0.333	2.889	-2.556	-0.333	1.444	-1.444
B175996	1.222	0.889	1.333	0.444	1.556	-2	-2	1.333	-2.778
B176007	0.444	0.222	2.111	-0.222	0.778	-1.889	-1.444	0.778	-0.778
B176015	1.556	0	1.889	-0.333	1.778	-3	-3	0	-3
B176035	1.556	1.556	0.333	-0.556	2	-2.444	-2	-3	-0.222
B176037	0.778	-1.444	0.778	0	1	-2.556	-1.444	0.778	-2.556
B176065	2.111	2.222	2.778	1.889	2.222	1.667	1.889	2.556	2
B176115	1	0.444	1.222	0.667	1.778	-1.556	-1.444	0.778	-2.222
B176151	0	-0.778	0.556	-0.222	0.222	-2	-1.667	1.111	-2.889
B176153	0.444	0.333	1.889	0	2.111	-2.444	-1.111	0.778	-2.444
B176164	1.778	0.111	1.889	0	0	-2.111	-2.333	1.444	-2.889
B176167	0.667	-1.778	1.667	-0.778	2.111	-3	-3	-0.333	-3
B176176	2	2.111	1.889	-0.111	1.778	-3	-3	1.444	-2.778
B176190	1.556	0.222	2.667	-1.111	2.111	-2.889	-2.333	0.667	-2.556
B176244	0.333	-1.222	-0.556	-0.444	1.111	-2.889	-0.111	-0.222	-2.889
B176276	0.778	0.667	0.889	-0.111	1	-2.667	-2.444	0.556	-0.889
B176285	2	1.778	0.778	1.111	1.667	1.111	1.333	1.444	-1.889
B176290	1.667	-0.778	2.222	-0.444	1.778	-2.111	-1.333	-0.111	-2.444
B176394	1.889	0.111	2.333	-0.333	1.778	-3	-2.556	0.222	-2.556
B176411	-0.556	-0.333	2.778	-0.111	1.111	-2.444	-0.889	1.111	-1.333
B176417	3	1.444	2.889	-0.222	2.778	-3	-2.889	1.667	-2.778
B176441	1.444	2.333	2.444	0.444	1.778	-2.444	-0.222	1.889	1
B176447	2.333	0.111	2.556	0.222	2.222	-3	-2.778	-1	-2.444
B176471	1.556	-0.778	2.778	-0.333	1.333	-3	-2.556	-0.111	-2.889
B176495	-0.111	2.333	-0.778	0.444	2.778	-1.111	0.667	1.333	-2.111
B176499	1	0.222	2.667	1.778	2.444	-3	-1.333	0.667	-1.778
B176560	0	-0.556	1.444	-0.222	1.778	-3	-2	-1.444	-2.889
B176577	0.667	0.222	1.333	0	1.778	-1.889	-1.222	0.556	-1.889
B176595	1.667	1.333	2.889	-0.444	2.778	-2.222	-1.889	1	-1
B176602	-2	-2.111	-2.111	-2.222	-2	-3	-3	-2.444	-2.889
B176613	1.222	0.444	2.778	-0.222	2.444	-2.889	-1	-1	-1.667
B176628	1.111	-0.222	1.667	0.222	2.667	-2.889	-1.556	0.889	-2.889
B176630	2.222	0.222	2.778	0.222	2.333	-2.889	-1.444	0	-1.444
B176637	0.889	2.111	1.222	0.889	1.556	1	0.889	2.111	1.111
B176646	1.222	0.778	1.111	-1.667	1.778	-2.222	-0.111	0.111	-2.889
B176671	0.667	0.778	1.889	0	2.444	-2.667	-1	-2.556	0.222
B176676	2.889	-2.333	1.667	-0.333	1	-3	-2.667	-1.222	-3
B176699	0.889	0.556	2.333	-0.556	1.333	-3	-2.667	-1	-2.556
B176718	1.778	-0.333	1.889	-0.333	2.333	-2.444	-2.556	-1.889	-2.556
B176745	1.111	0.333	2.222	-0.111	2.111	-3	-2.222	0	-2.556
B176746	0.556	0.111	0.667	0	0.333	-1.556	-1.889	0.444	-2.222
B176751	1.222	-0.333	2.111	0	1.333	-2.778	-2.667	-0.889	-2
B176779	2.667	0	2.556	-0.333	2.556	-3	-2.889	0	-2.889
B176802	1	0.444	1.778	-0.556	2.111	-3	-1.667	-2.111	-2.667
B176853	1.556	-0.222	1.889	-0.333	2.222	-2.667	-2.222	-1.667	-2.444
B176865	1	1.444	2.556	0	2.889	-3	-2.444	-1	-2
B176879	0.333	-0.667	1.778	-0.333	0.111	-0.889	-0.889	-0.778	-2
B176888	0.222	0.667	2.556	-0.333	2.222	-3	-2.444	0.444	-2
B176931	0.444	-1.222	1.556	-1.111	2	-2.333	-1.667	-3	-2
B176979	0.667	0.778	2.333	0.111	2.111	-2.889	-1.333	0.111	-1
B176982	1.889	1	2.111	-0.222	1.889	-2.667	-2.111	1.778	0.111
B176995	0.778	1.556	2.222	0.333	2.667	-2.889	0.111	-1.444	-1.889
B177007	0.889	0.889	1.889	-0.333	2.111	-2.778	-1.556	0.111	-1.556
B177023	3	-1.111	2.333	-0.889	2.889	-3	-2.889	1	-3
B177053	1.333	1.667	2	-0.111	1.889	-2.556	-0.444	1.667	1.444
B177063	2.111	-0.889	2.667	-0.222	1.667	-2.556	-2.222	-0.889	-1.667
B177070	2.333	2.556	2.667	1.444	2.222	1.222	1.667	1.556	1.667
B177099	1.444	0.111	2.111	0.111	1	-1	-0.444	0.444	-0.778
B177108	1.444	0.111	2.556	0.111	1.889	-3	-3	1.667	-2
B177119	1.778	0.889	1.667	-0.444	2.222	-2.111	-1.778	1.333	-2.111
B177121	2	0.778	2.222	0.667	2.222	-2.667	-3	0	-2.778
B177132	1.778	0.222	2.778	-0.333	1.333	-3	-3	0.333	-3
B177158	2.111	0.889	1	0.556	2.333	-3	-3	1.444	-2.667
B177164	1.667	0.333	1.889	0	2.222	-2.556	-0.778	0.667	-0.222
B177192	0.222	1	3	0.778	2.889	-2.778	-3	-2.222	-2.778
B177195	0.889	-0.667	2.778	-1.222	2.889	-3	-2	-1.111	-1.667
B177236	1.667	2.444	2.556	1.333	1.556	1.444	1.222	2.444	1.556
B177251	2.778	0.667	1	0.889	2.444	-3	-3	1.444	-2.778
B177252	0.333	1.111	2.111	-0.222	2.778	-3	-2.111	1.222	-2.222
B177268	0.111	-0.778	0.667	-1	0.111	-2.778	-2.444	-1.444	-1.556
B177306	0.222	-0.667	1.333	-1	2.444	-3	-2.778	-0.889	-3
B177312	0.444	-0.222	1.111	-0.111	1.444	-3	-2.222	1.333	-3
B177313	1.889	0.889	0	0.333	1	-2.667	-1.778	1.889	-3
B177329	0.444	-0.333	0.556	-0.222	0.556	-2.667	-1.556	0.333	-1.333
B177332	0.667	-0.667	2.222	0.556	2.333	-1.889	1.222	0.778	0.111
B177406	0.889	0.556	2.556	-0.778	1.889	-3	-3	-1.444	-2.778
B177428	2.222	2.444	2.222	2.111	2.556	1.556	1.889	1.778	-0.222
B177487	1.333	1.333	2.222	-0.111	2.333	-2.778	-1.444	1	-2.667
B177499	2.222	2.222	2	2.111	1.889	1.889	2.444	2	2.556
B177501	-2.333	-1.444	-1.222	-2	-1.778	-2.444	-2.556	-1.111	-2.556
B177538	0.556	0.333	0.667	-0.222	1.333	-1.444	-0.889	0.444	-0.667
B177579	0.556	0.778	0.667	0	1.444	-2.444	-1	0.556	-2.667
B177588	0	-1	0.667	-0.222	0.111	-2.667	-2.333	-0.889	-1.667
B177599	1.778	0.444	2.444	0.556	2.111	-2.111	-2.778	0.444	-1.333
B177645	0.444	-0.333	2	0.111	1.556	-3	-2.778	-2.667	-1.333
B177717	1.667	0.333	0.667	-0.111	1.444	-2.222	-1.444	-1.333	-2
B177724	-1.111	-1.556	-2	-1.556	-1.111	-2.444	-1.778	-2.556	-2.222
B177775	1.556	1	2.222	0.889	1.667	-2.889	-1.222	-1.111	-1.889
B177778	0.222	0.556	0.111	0.111	0.556	-0.778	-0.111	0.889	0.111
B177817	1.333	0.222	0.889	0.444	2.667	-3	-1.111	-1.667	-1.889
B177858	0.333	1	1.111	1.667	1.222	0.333	0.667	1.444	0
B177871	1.222	0	2.889	-0.333	1.556	-2.111	-1.667	-1.889	-1.778
B177876	2.222	0.889	1.889	1.556	1.667	1.556	1.556	0.889	2
B177886	3	1.667	2.333	0.444	1.889	-1.333	0	1.333	1.667
B177892	-0.444	-0.889	0.333	-1.444	-0.111	-3	-2.333	-2.111	-2.333
B177924	0.667	0.667	2.222	-0.556	1.556	-2.778	-2.556	-0.111	-2.444
B177941	-0.778	-0.667	-0.333	-0.556	0.222	-2.333	-0.667	-2.222	-2.111
B177943	1.333	0.333	0.778	-1.444	1.778	-2.889	-2.556	-0.333	-2.222
B177957	0.556	1.556	1.889	0.667	3	-2.667	-1.333	-1.667	-3
B178015	0.556	0.444	2.111	0.556	2.444	-2.778	-1.778	-0.111	-0.889
B178029	1.556	-0.111	1.333	-0.111	1.556	-2.333	-1.889	0.111	-1.333
B178058	0.556	-0.111	0.778	-0.111	1.889	-2.778	-2.556	-0.778	-2.333
B178066	0.556	1.667	2.222	-1	1.778	-1.111	-0.889	-0.444	-1.444
B178095	2.111	0.778	3	0.667	2.444	-2.667	-1.889	-2.444	-1.556
B178112	2.556	1.444	0.333	0.444	2.667	-3	-3	2.889	-3
B178114	0.111	0.556	0.556	1.111	1	0.333	0.444	1.111	0.556
B178175	2.778	1	1	0.222	2.667	-2.667	-2.222	1.667	-1.778
B178200	2.333	-0.444	2.333	-0.333	1.444	-2	-1.667	0.889	-1.667
B178248	3	1.222	2.556	0.778	2.333	-2.444	0.444	-3	0.556
B178251	0	-1.667	2.111	-1.778	1.778	-2.667	-1.667	-0.889	-2.889
B178263	1	1.111	2	0.222	2.111	-2.222	-1.667	0	-2.333
B178271	-0.667	-1.778	1.667	-2.444	-0.111	-3	0.667	-0.222	-0.778
