Project	Respondent_ID  ID	GRPRT_img1050_PRT  {#IMG_1050} :	GRPRT_img1120_PRT  {#IMG_1120} :	GRPRT_img1300_PRT  {#IMG_1300} :	GRPRT_img1301_PRT  {#IMG_1301} :	GRPRT_img1321_PRT  {#IMG_1321} :	GRPRT_img1440_PRT  {#IMG_1440} :	GRPRT_img1441_PRT  {#IMG_1441} :	GRPRT_img1460_PRT  {#IMG_1460} :	GRPRT_img1463_PRT  {#IMG_1463} :	GRPRT_img1500_PRT  {#IMG_1500} :	GRPRT_img1525_PRT  {#IMG_1525} :	GRPRT_img1610_PRT  {#IMG_1610} :	GRPRT_img1710_PRT  {#IMG_1710} :	GRPRT_img1811_PRT  {#IMG_1811} :	GRPRT_img1930_PRT  {#IMG_1930} :	GRPRT_img1932_PRT  {#IMG_1932} :	GRPRT_img4006_PRT  {#IMG_4006} :	GRPRT_img4150_PRT  {#IMG_4150} :	GRPRT_img4220_PRT  {#IMG_4220} :	GRPRT_img4225_PRT  {#IMG_4225} :	GRPRT_img4531_PRT  {#IMG_4531} :	GRPRT_img4534_PRT  {#IMG_4534} :	GRPRT_img4537_PRT  {#IMG_4537} :	GRPRT_img4538_PRT  {#IMG_4538} :	GRPRT_img5600_PRT  {#IMG_5600} :	GRPRT_img5631_PRT  {#IMG_5631} :	GRPRT_img5660_PRT  {#IMG_5660} :	GRPRT_img5700_PRT  {#IMG_5700} :	GRPRT_img5814_PRT  {#IMG_5814} :	GRPRT_img5831_PRT  {#IMG_5831} :	GRPRT_img5833_PRT  {#IMG_5833} :	GRPRT_img5836_PRT  {#IMG_5836} :	GRPRT_img5971_PRT  {#IMG_5971} :	GRPRT_img5972_PRT  {#IMG_5972} :	GRPRT_img8031_PRT  {#IMG_8031} :	GRPRT_img8080_PRT  {#IMG_8080} :	GRPRT_img8179_PRT  {#IMG_8179} :	GRPRT_img8180_PRT  {#IMG_8180} :	GRPRT_img8186_PRT  {#IMG_8186} :	GRPRT_img8200_PRT  {#IMG_8200} :	GRPRT_img8370_PRT  {#IMG_8370} :	GRPRT_img8475_PRT  {#IMG_8475} :	GRPRT_img9050_PRT  {#IMG_9050} :	GRPRT_img9230_PRT  {#IMG_9230} :	GRPRT_img9600_PRT  {#IMG_9600} :	GRPRT_img9622_PRT  {#IMG_9622} :	GRPRT_img9902_PRT  {#IMG_9902} :	GRPRT_img9910_PRT  {#IMG_9910} :
N501	A56BBC02-9762-E611-8111-125BDAFF1DF1	-3	-3	-3	-2	-1	3	3	2	3	2	-3	2	3	2	-3	-2	-2	-2	-2	-2	2	2	2	2	2	3	2	2	1	2	2	1	-2	-1	2	1	1	1	1	2	0	0	-2	-2	-2	-2	-2	-2
N501	F439B8FC-9662-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	1	3	2	2	2	-3	1	3	3	0	-2	-3	0	-1	-2	2	3	-2	3	2	0	2	1	-2	3	3	0	-2	-1	3	1	-2	2	-1	1	1	-3	-3	-3	-3	-3	-3	-3
N501	7E6BBC02-9762-E611-8111-125BDAFF1DF1	1	1	1	0	0	3	3	2	2	0	0	0	2	0	0	3	0	0	0	0	-2	-2	-3	-2	1	1	0	0	-1	0	-1	1	0	0	0	0	0	2	3	0	0	-1	0	-1	0	0	3	1
N501	05C2C708-9762-E611-8111-125BDAFF1DF1	0	-1	-2	-2	1	3	3	3	3	2	-2	-1	3	1	-1	-1	-1	-1	0	-1	1	0	1	1	1	1	0	0	2	1	1	1	-1	-1	1	-1	1	2	1	1	1	-1	-1	-1	-1	-1	-2	-2
N501	9B6BBC02-9762-E611-8111-125BDAFF1DF1	-3	-3	-2	0	-2	3	3	3	3	3	-3	3	3	3	-3	-2	3	2	3	2	0	0	0	0	3	3	2	3	2	3	3	2	-3	-3	3	2	3	3	3	2	2	2	-2	-2	-3	-3	-3	-3
N501	12C2C708-9762-E611-8111-125BDAFF1DF1	-3	-3	-2	-1	-3	3	3	2	3	2	-2	1	3	-1	-3	-3	-3	-3	-3	-3	2	1	-1	3	2	1	1	1	3	1	2	1	-3	-3	-1	-1	-3	-3	0	-1	0	-2	-3	-3	-3	-3	-3	-3
N501	0FC2C708-9762-E611-8111-125BDAFF1DF1	-1	-2	-3	-1	0	-2	-2	3	2	3	0	2	3	0	-1	-1	2	3	3	3	-3	-3	-3	-3	3	3	2	1	0	-3	0	-1	-2	-1	1	-1	0	-1	1	0	2	1	-2	-1	-2	-1	-1	-2
N501	ACF7BFF6-9662-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	2	3	2	3	2	-3	2	3	-1	-3	-3	0	3	2	2	0	0	-2	0	1	2	2	3	0	2	1	0	-2	-2	1	1	1	1	1	2	1	-1	-3	-2	-3	-3	-3	-3
N501	1EC9C40E-9762-E611-8111-125BDAFF1DF1	-2	-3	-3	-3	-3	3	3	3	3	3	-3	3	3	0	-3	-3	-3	-3	-2	-3	-2	-2	-3	-2	3	3	1	2	3	3	3	2	3	2	0	0	-1	0	0	0	0	-3	-3	-3	-3	-3	-3	-3
N501	5F00E51A-9762-E611-8111-125BDAFF1DF1	-3	-1	-3	-2	1	3	3	3	3	3	-3	3	3	0	-3	-2	0	-1	3	2	1	3	-1	3	3	2	3	3	2	1	3	1	-2	0	1	-3	0	3	2	-1	3	-1	-2	-2	-3	-2	-3	-3
N501	5293EB20-9762-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	-3	-3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	3	2	3	2	1	-3	-3	-3	1	1	-3	-3	-3	-3	-3	-3	-3	-3	0	-3	-3	-3	-3	-3
N501	EBD50227-9762-E611-8111-125BDAFF1DF1	-1	-1	-1	-1	-1	1	2	1	2	1	-1	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	1	1	0	1	1	2	-1	-1	1	-1	-1	0	1	0	1	-1	-1	-1	-1	-1	-1	-1
N501	EB4CFC38-9762-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	2	-3	3	3	0	-3	-3	0	0	3	0	3	3	3	3	3	3	-3	0	3	3	3	3	-3	0	3	3	3	0	0	3	3	0	-3	-3	-3	-3	-3	-3
N501	EC1DF832-9762-E611-8111-125BDAFF1DF1	-3	-3	-2	-1	-1	3	3	2	2	2	-2	2	2	2	-2	1	2	3	3	3	-3	-3	-2	-2	3	2	3	3	3	2	2	2	-1	1	1	1	2	0	0	-1	2	-3	-3	-2	-1	-2	-3	-3
N501	F04CFC38-9762-E611-8111-125BDAFF1DF1	-1	-1	-1	-1	-1	3	3	3	3	3	-1	3	3	3	-1	-1	0	0	0	0	1	1	1	1	3	3	3	3	3	3	1	1	2	1	1	0	0	0	2	1	-1	0	-1	-3	-2	-3	-1	-3
N501	434DFC38-9762-E611-8111-125BDAFF1DF1	0	1	1	0	0	3	3	3	3	0	-1	3	3	-1	1	-1	-1	0	1	3	1	-1	1	1	3	3	3	3	3	2	3	1	-3	-2	0	-1	0	-1	0	-1	1	0	-3	-3	-2	-3	-3	-3
N501	CB020A3F-9762-E611-8111-125BDAFF1DF1	-3	-3	-3	-2	0	3	3	3	3	3	-3	3	3	-1	-3	-3	3	3	3	3	3	3	1	3	3	3	3	0	3	3	3	3	-2	-1	3	0	0	0	3	3	0	-1	-1	-3	-3	-3	-3	-2
N501	06D5084B-9762-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	0	3	3	3	3	2	-3	3	3	-2	-3	-3	-3	-3	-3	-3	0	0	0	1	3	3	3	3	0	3	1	3	2	-2	1	0	1	1	1	1	1	1	-2	0	-3	-3	-3	-3
N501	95CA2D57-9762-E611-8111-125BDAFF1DF1	3	3	3	-2	3	3	3	3	3	3	-3	3	3	0	0	3	-3	-3	-3	2	3	0	1	3	3	3	3	3	3	3	3	3	3	3	0	0	-3	0	-3	1	3	-1	-3	-3	-3	-3	-3	3
N501	59DA887E-9662-E611-8111-125BDAFF1DF1	-2	-2	-2	-1	-2	3	3	3	3	3	-2	3	3	3	-1	-2	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	-1	-2	2	1	0	-1	1	2	2	-2	-1	0	-2	-2	-2	-2
N501	38B6776F-9762-E611-8111-125BDAFF1DF1	-3	-3	-1	0	0	3	3	3	3	2	-3	2	3	3	-1	0	-1	0	0	0	3	2	2	3	3	3	2	2	3	2	2	3	1	2	1	3	2	2	3	3	2	-2	-2	-2	-2	-1	-3	-2
N501	6BDAA081-9762-E611-8111-125BDAFF1DF1	-1	-1	-1	0	0	3	3	3	3	2	-1	3	3	-1	-2	-1	-3	-3	-3	-3	-2	-1	-1	-2	3	1	3	3	3	3	3	2	3	3	0	0	3	1	1	0	1	0	-2	-2	0	-2	-1	-3
N501	EDD8C293-9762-E611-8111-125BDAFF1DF1	-2	-1	-3	0	1	3	3	3	3	3	0	3	3	0	0	-2	0	0	3	0	3	3	2	3	3	3	3	3	3	2	3	0	0	0	3	3	1	2	3	3	3	0	0	0	0	3	0	0
N501	E5F0D299-9762-E611-8111-125BDAFF1DF1	-1	-1	-2	-1	-1	1	2	2	2	0	-2	2	2	1	-2	-2	0	-1	0	0	0	0	0	0	1	1	0	1	0	1	2	1	-2	-1	1	0	-1	0	1	1	0	0	0	-1	-2	-1	-2	-2
N501	6DCDCBB1-9762-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	0	-3	3	3	2	-3	-3	-3	-2	-2	-2	-2	-2	-2	-2	1	2	-2	-2	1	1	0	0	-3	-3	-2	-2	-1	-2	-2	-2	-1	-3	-3	-3	-3	-3	-3	-3
N501	AACDCBB1-9762-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	0	2	-1	2	1	-3	-2	1	0	-3	-3	3	2	3	3	3	0	3	3	-2	3	-3	-3	-3	3	3	3	-3	-3	-3	-3	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3
N501	0087F8CF-9762-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-2	3	3	3	3	3	-3	1	3	2	-3	-3	-3	-3	-3	-3	2	2	2	2	3	3	3	3	2	3	2	2	-3	-3	2	1	-2	1	-2	0	3	-3	-3	-3	-3	-3	-3	-3
N501	14B19D60-9862-E611-8111-125BDAFF1DF1	1	1	-2	-1	0	3	3	3	3	3	-3	3	3	1	-3	-3	-2	-2	-1	-1	0	0	0	0	1	1	2	2	0	2	1	0	-2	-3	0	0	-1	0	0	0	1	0	-3	-3	-3	-3	-3	-3
N501	E4497748-9862-E611-8111-125BDAFF1DF1	0	-3	-3	0	0	3	3	3	3	3	-3	3	3	0	-3	-3	0	0	0	3	3	1	-3	3	3	3	2	2	3	3	3	3	3	0	1	0	0	0	0	1	3	0	-3	1	-3	-3	-3	-3
N501	E911A5AE-9862-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	3	-3	3	2	2	-3	-3	0	0	0	0	-3	0	3	2	3	3	3	3	2	2	2	1	-3	-3	0	0	2	2	2	3	0	-1	-3	-3	-3	-3	-3	-3
N501	43431903-9962-E611-8111-125BDAFF1DF1	0	0	0	0	2	2	3	2	2	2	0	0	3	0	0	0	1	1	1	0	1	1	1	1	2	2	2	3	3	3	2	1	1	1	1	0	1	3	1	0	2	0	0	2	-1	0	0	0
N501	F22D0C0F-9962-E611-8111-125BDAFF1DF1	-3	-3	-3	0	1	2	2	2	2	2	-2	2	2	1	-2	-3	-3	-3	-3	-3	2	1	2	2	2	2	2	2	1	3	3	2	-3	-3	1	1	1	1	1	1	2	1	-3	0	-2	-3	-3	-3
N501	B0710415-9962-E611-8111-125BDAFF1DF1	-3	-3	-2	1	0	2	2	2	3	3	-3	2	3	3	-2	-3	-1	0	0	0	2	0	-1	3	1	2	1	2	2	3	3	2	-3	-3	2	1	1	1	1	2	2	-1	-3	-3	-3	-3	-3	-3
N501	94161E1B-9962-E611-8111-125BDAFF1DF1	0	-3	-3	-2	-3	2	2	0	1	2	-3	2	3	-1	-3	-3	-2	-3	-1	-1	0	-1	0	-3	3	3	0	-3	3	3	3	3	-2	-3	1	2	3	3	1	0	-1	0	-3	-3	-3	-3	-3	-3
N501	172E0C0F-9962-E611-8111-125BDAFF1DF1	-3	-3	-1	1	1	3	3	3	3	3	-1	3	3	1	-1	-3	-1	-2	-2	-2	3	1	2	2	3	2	3	2	1	3	2	3	-3	-3	1	-1	3	1	2	1	1	-3	-3	-3	-3	-3	-3	-3
N501	89161E1B-9962-E611-8111-125BDAFF1DF1	0	0	0	-2	1	3	1	0	-3	0	0	1	1	1	2	3	2	2	0	1	0	0	0	3	2	-3	3	3	1	2	-1	1	2	1	-1	0	1	-1	-2	3	0	-2	0	0	0	0	1	2
N501	3681453F-9962-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	0	2	2	3	0	2	-2	0	1	1	-1	-3	-2	-2	-1	-2	1	2	1	1	3	2	3	2	-1	2	3	3	-1	-1	0	0	2	3	2	0	0	1	-2	-2	-2	-3	-2	-1
N501	BA274045-9962-E611-8111-125BDAFF1DF1	-1	0	-1	-1	-3	3	3	3	3	0	-1	3	0	1	-2	0	3	0	0	0	3	3	3	1	3	3	3	3	-1	1	0	0	-1	-1	0	0	-1	-1	0	2	0	-3	-1	0	-1	-1	-1	-3
N501	62FF3E51-9962-E611-8111-125BDAFF1DF1	3	3	1	1	3	3	3	3	3	2	1	3	3	2	3	3	1	2	2	2	-3	-3	-3	-2	3	3	3	3	1	2	3	1	3	3	3	2	3	1	1	-1	1	0	0	1	2	3	1	-1
N501	E22E4357-9962-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-1	3	3	3	3	-2	0	-3	3	-3	-3	-3	-3	0	3	3	3	-3	3	3	3	3	3	3	3	3	3	3	0	0	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3
N501	DD2E4357-9962-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	3	1	3	3	1	-3	-3	0	0	0	0	3	3	0	3	3	3	3	3	0	3	3	3	3	-3	0	0	0	3	0	3	1	0	-3	1	-3	-3	-3	-3
N501	F398425D-9962-E611-8111-125BDAFF1DF1	-1	-3	1	-1	3	3	3	3	1	3	-1	3	3	3	-2	-3	1	-2	1	1	1	2	0	3	3	3	3	3	3	3	3	0	1	-1	1	1	3	1	3	0	0	-1	-3	-3	-3	-3	-3	-3
N501	EFDD3A63-9962-E611-8111-125BDAFF1DF1	-1	-1	-3	2	-2	2	2	2	2	2	-2	2	2	-1	-2	-1	3	2	2	1	2	0	1	2	2	2	2	2	-2	2	2	2	-1	-2	1	2	1	2	2	1	2	2	-3	-1	-2	-2	-1	-2
N501	DF26557B-9962-E611-8111-125BDAFF1DF1	-2	-2	-2	-2	-2	3	3	3	3	2	-2	2	1	1	-1	-2	3	3	3	3	2	2	2	1	2	2	2	2	1	1	2	1	-1	-2	1	1	-2	-1	0	2	1	1	-3	-2	-3	2	-3	-3
N501	94944E75-9962-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	3	-3	3	3	3	-3	-3	-3	-3	-3	-3	3	3	3	3	3	2	3	1	3	2	3	3	-3	-3	1	-3	0	-3	0	3	0	-3	-3	-3	-3	-3	-3	-3
N501	24509D8D-9962-E611-8111-125BDAFF1DF1	-3	-3	-1	0	0	3	3	-2	2	3	-3	3	3	-2	-3	-3	-1	-1	0	-3	0	-1	-3	-1	1	3	0	1	-3	3	2	2	-2	-3	0	2	0	0	0	0	0	-3	-3	0	-3	-3	-3	-3
N501	8EE0A393-9962-E611-8111-125BDAFF1DF1	-2	-2	-2	0	1	2	2	2	2	1	0	2	2	0	-1	-2	-2	-2	0	-2	0	-1	-2	-2	0	1	1	-1	1	1	0	1	-2	-2	1	0	0	0	0	1	0	-2	-1	-2	-2	-2	-2	-2
N501	50849E99-9962-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	2	2	2	2	3	-1	2	3	2	-3	-2	0	0	1	0	3	3	3	3	0	0	0	0	0	2	3	0	-3	-3	0	0	0	-2	0	0	0	-2	-3	-3	-2	-3	-3	-3
N501	5AC5969F-9962-E611-8111-125BDAFF1DF1	2	-1	1	1	1	1	2	2	3	2	2	2	2	-1	-1	2	3	2	3	3	-1	-1	-1	-1	3	2	1	2	3	3	3	1	2	-1	2	3	-2	1	2	2	-1	2	-1	-1	-2	-1	-1	-1
N501	54DCA081-9962-E611-8111-125BDAFF1DF1	3	3	0	-1	-1	1	2	3	2	1	-1	2	1	1	-2	-1	3	2	3	3	2	2	1	2	3	3	3	3	3	2	1	3	3	2	0	0	0	1	0	0	0	-3	-1	0	0	-1	-2	-2
N501	D444C5AB-9962-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-1	3	3	3	2	3	-3	1	3	-2	-3	-3	-1	1	2	1	-3	-3	-3	-3	3	3	3	2	3	3	1	3	1	1	3	1	1	1	2	1	0	-3	-3	0	-3	-3	-3	-3
N501	B890B7BD-9962-E611-8111-125BDAFF1DF1	-3	-3	-3	0	-3	0	1	1	0	1	-3	3	2	0	-3	-3	-1	0	0	0	3	3	0	3	0	0	0	-3	3	3	3	3	0	-3	0	-3	0	-3	0	0	0	0	-3	-3	-3	-3	-3	-3
N501	B290B7BD-9962-E611-8111-125BDAFF1DF1	3	3	-1	1	0	3	3	3	3	3	1	3	3	3	-2	1	-1	-1	-2	1	1	1	3	2	3	3	3	3	3	3	2	1	-3	-3	1	1	-2	2	3	1	3	-3	-3	-3	-3	-3	-3	-3
N501	D590B7BD-9962-E611-8111-125BDAFF1DF1	-2	-2	-1	-1	-1	1	1	1	0	0	-1	1	1	0	-2	-1	2	2	2	3	-1	0	-1	-1	1	2	1	2	1	0	1	0	-2	0	0	0	-1	0	0	0	0	0	-2	-2	-1	-1	-3	-3
N501	9FDEC8CF-9962-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	2	3	2	2	3	-3	2	3	-2	-3	-3	3	3	3	3	0	1	-2	1	3	3	3	3	3	3	3	1	-3	-3	2	2	-2	0	0	3	2	0	-3	-3	-3	-3	-3	-3
N501	21DFC8CF-9962-E611-8111-125BDAFF1DF1	-1	-2	-2	-3	-3	1	3	3	3	2	-3	1	3	1	-2	-3	0	0	1	1	1	1	1	2	3	3	2	2	2	2	3	3	0	-1	0	0	0	-1	2	0	1	-1	-3	-2	-3	-3	-3	-3
N501	349BD3DB-9962-E611-8111-125BDAFF1DF1	-2	-2	-1	0	0	3	3	3	3	3	-1	3	3	0	-2	-2	-1	-1	0	-1	-1	-1	0	-1	3	2	3	3	2	3	1	2	1	1	1	1	-1	1	1	2	1	-2	-2	-2	-3	-2	-2	-3
N501	7FC9D7E1-9962-E611-8111-125BDAFF1DF1	-1	-2	-1	0	1	1	2	2	2	3	-1	3	2	2	-1	-1	0	0	0	0	0	0	1	1	2	2	1	2	1	3	3	2	-1	-2	2	2	1	2	1	3	2	1	-2	-2	-2	-3	-3	-2
N501	E598D6ED-9962-E611-8111-125BDAFF1DF1	0	0	0	0	0	2	3	2	2	2	0	2	3	0	1	0	-3	-3	-3	-3	2	3	3	3	2	2	2	2	3	2	3	2	-3	2	3	0	-2	3	0	3	3	0	-3	0	0	-3	-3	-3
N501	3402D6F3-9962-E611-8111-125BDAFF1DF1	-3	-3	-2	-3	-3	2	3	3	3	2	-3	3	3	2	-3	-3	-1	-2	-1	-1	1	1	1	2	3	2	0	2	2	1	2	0	0	-2	0	1	-1	1	1	1	2	0	-3	0	0	-3	-3	-3
N501	1582E811-9A62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	-3	0	-3	-3	2	-3	-3	-2	1	-3	-3	1	0	2	0	-2	0	0	1	2	2	2	1	1	1	2	1	-3	2	2	2	3	2	1	2	2	0	-3	1	2	2	-3	-2
N501	E42BE01D-9A62-E611-8111-125BDAFF1DF1	-2	-2	-2	-2	1	2	3	2	3	1	-2	2	2	1	-1	-1	-2	0	-1	-1	0	1	0	1	2	2	3	2	1	2	1	3	2	1	1	1	1	1	1	1	1	-3	-3	0	2	-1	-3	-3
N501	512CE01D-9A62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-2	2	2	1	2	2	-3	2	2	-2	-3	-2	2	1	2	2	2	3	2	2	2	3	3	2	2	2	3	2	-1	-3	2	2	1	1	1	1	1	2	-2	-3	-3	-2	-3	-3
N501	D9ADEF29-9A62-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	0	3	3	3	3	3	-3	3	3	0	-3	-3	-3	-3	-3	-3	0	3	-3	-3	3	3	-3	-3	-3	0	0	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	0	-3	-3	-3	-3	-3	-3
